Element	mass	a	epsilon	sigma
Argon(FCC)	39.948	5.31	0.0104	3.4
Nickel(FCC)	58.693	3.52	0.66	2.24
Silver(FCC)	107.868	4.086	0.34	2.65
Rhodium(FCC)	102.905	3.804	0.67	2.46
UraniumHexafluoride(BCO)	352.02	8.488	0.027895	6.379
SulfurHexafluoride(BCO)	146.06	8.01	0.017830	5.783
Uranium(BCO)	238.029	9.05	0.10321	2.78
Plumbum(FCC)	207.200	6.08	0.08985	3.118
Hydrargyrum(Tri)	200.590	5.71	0.08698	2.803
Aurum(FCC)	196.967	5.67	0.8541	0.08541
Platinum(FCC)	195.084	5.658	0.08460	2.471
Iridium(FCC)	192.217	5.588	0.08335	2.418
Osmium(Hex)	190.230	5.585	0.08249	2.411
Ytterbium(FCC)	173.054	5.256	0.07504	3.1
Holmium(Hex)	164.930	5.06	0.07152	3.147
Cesium(BCC)	132.905	4.0782	0.057633	4.866
Xenon(FCC)	131.293	4.0495	0.056934	3.564
Iodine(BCO)	112.411	3.925	0.055031	3.528
Cadmium(Hex)	107.868	3.8034	0.048746	2.794
Molybdenum(BCC)	95.9600	3.636	0.041612	2.495
Strontium(FCC)	87.6200	3.601	0.037996	3.833
Krypton(FCC)	83.7980	3.577	0.036338	3.400
Bromine(BCO)	79.9040	3.559	0.034650	3.296
Arsenic(Tri)	74.9216	3.524	0.032489	3.296
Zinc(Hex)	65.3800	3.496	0.028351	2.484
Copper(FCC)	63.5460	3.4681	0.027556	2.277
Cobolt(Hex)	58.9332	3.416	0.025556	2.231
Ferrum(BCC)	55.8450	3.38	0.024217	2.270
Manganese(BCC)	54.9380	3.359	0.023823	2.252
Chromium(BCC)	51.9961	3.309	0.022548	2.284
Vanadium(BCC)	50.9415	3.3013	0.022090	2.398
Calcium(FCC)	40.0780	3.232	0.017379	3.517
Potassium(BCC)	39.0983	3.2094	0.016955	4.234
Chlorine(BCO)	35.4530	3.1652	0.015374	3.118
Aluminium(FCC)	26.9815	2.9794	0.011700	2.552
Magnesium(Hex)	24.3050	2.9508	0.010540	2.854
Sodium(BCC)	22.9898	2.91	0.0099693	3.405
Fluorine(BCM)	18.9984	2.8537	0.008238	2.619
Lithium(BCC)	6.94100	2.5071	0.003009903	2.783
